Xkr4
Gm19938
Mrpl15
Lypla1
Tcea1
Rgs20
Atp6v1h
Rb1cc1
4732440D04Rik
St18
Pcmtd1
Gm26901
Sntg1
Rrs1
Adhfe1
Vxn
Mybl1
Vcpip1
Sgk3
Mcmdc2
Snhg6
Cops5
Cspp1
Arfgef1
Prex2
A830018L16Rik
Sulf1
Slco5a1
Ncoa2
Tram1
Lactb2
Eya1
Kcnb2
Terf1
4930444P10Rik
Rpl7
Rdh10
Stau2
Ube2w
Eloc
Tmem70
Ly96
Jph1
Gdap1
Gm28154
Gm16070
Crispld1
Tfap2d
Tfap2b
Mcm3
Paqr8
Efhc1
Tram2
Tmem14a
Rims1
Gm29107
Ogfrl1
B3gat2
Smap1
Sdhaf4
Fam135a
Col9a1
Col19a1
Lmbrd1
Adgrb3
Phf3
Khdrbs2
Prim2
Rab23
Bag2
Zfp451
Bend6
Dst
Gm37233
Ccdc115
Imp4
Ptpn18
Amer3
Arhgef4
Fam168b
Plekhb2
Hs6st1
Uggt1
Arid5a
4930403P22Rik
Kansl3
Lman2l
Cnnm4
Cnnm3
Ankrd23
Ankrd39
Sema4c
Cox5b
Actr1b
Tmem131
Gm38115
Inpp4a
Coa5
Unc50
Mgat4a
Tsga10
Lipt1
Mitd1
Mrpl30
Txndc9
Eif5b
Rev1
Aff3
Gm16152
Lonrf2
Chst10
Pdcl3
Rpl31
Tbc1d8
Cnot11
Rnf149
Creg2
Map4k4
Gm16894
Mfsd9
Gm29260
Mrps9
Gpr45
Tgfbrap1
AI597479
Fhl2
Nck2
Uxs1
Tpp2
Gm8251
Tex30
Poglut2
Bivm
Ercc5
Gulp1
Col5a2
Wdr75
Dnah7b
Slc39a10
Tmeff2
Gm28320
Nabp1
Myo1b
Gm28323
Stat1
Gls
Nab1
Nemp2
Mfsd6
Inpp1
Hibch
1700019D03Rik
Mstn
Pms1
Ormdl1
Osgepl1
Asnsd1
Dnah7a
Stk17b
Hecw2
Ccdc150
Gtf3c3
Pgap1
Ankrd44
Sf3b1
Coq10b
Hspd1
Hspe1
Mob4
Mars2
Plcl1
Satb2
9130024F11Rik
4930558J18Rik
1700066M21Rik
Tyw5
Maip1
Spats2l
Kctd18
Sgo2a
Bzw1
Clk1
Ppil3
Nif3l1
Orc2
Gm15834
Fam126b
Ndufb3
Cflar
Casp8
Trak2
Stradb
Tmem237
Als2
Fzd7
Gm973
Sumo1
Nop58
Bmpr2
Fam117b
Ica1l
Wdr12
Carf
Nbeal1
Cyp20a1
Abi2
Raph1
Pard3b
Nrp2
Ino80d
Ino80dos
Gm20342
Ndufs1
Eef1b2
Zdbf2
Adam23
Fastkd2
Klf7
Creb1
Mettl21a
2810408I11Rik
Ccnyl1
Fzd5
Plekhm3
Idh1
Pikfyve
Map2
Unc80
Rpe
Kansl1l
Acadl
Lancl1
Erbb4
Ikzf2
Spag16
Bard1
Atic
Fn1
Apol7d
Pecr
Tmem169
Xrcc5
March4
Smarcal1
Rpl37a
Igfbp2
Igfbp5
6030407O03Rik
Tns1
Arpc2
Aamp
Pnkd
Tmbim1
Gm29358
Ctdsp1
Usp37
Cnot9
Plcd4
Zfp142
Bcs1l
Rnf25
Stk36
Ttll4
Cyp27a1
Cdk5r2
Nhej1
Cnppd1
Retreg2
Zfand2b
Abcb6
Atg9a
Ankzf1
Glb1l
Stk16
Tuba4a
Dnajb2
Ptprn
Resp18
Dnpep
Speg
Gmppa
Asic4
Chpf
Obsl1
Tmem198
Inha
Stk11ip
Slc4a3
Epha4
Farsb
Acsl3
Utp14b
Scg2
Ap1s3
Wdfy1
Mrpl44
Serpine2
Cul3
Dock10
Nyap2
Irs1
Rhbdd1
Col4a4
Mff
Agfg1
Sphkap
Pid1
Dner
Trip12
Fbxo36
Slc16a14
Cab39
Itm2c
Psmd1
Armc9
B3gnt7
Ncl
C130036L24Rik
